type,id,name,URL,url_sravni,url_irec,url_otz,vk,old_vk,code,bank_id
broker_i_uk,34,Первая,https://www.banki.ru/investment/responses/company/trust_company/sberbank-am/,,,,,,sberbank-am,
broker_i_uk,35,Вим Инвестиции,https://www.banki.ru/investment/responses/company/trust_company/vtbcapital-am/,,,,,,vtbcapital-am,
broker_i_uk,36,ВТБ Капитал Пенсионный резерв,https://www.banki.ru/investment/responses/company/trust_company/vtbcapital-pr/,,,,,,vtbcapital-pr,
broker_i_uk,37,Регион Девелопмент,https://www.banki.ru/investment/responses/company/trust_company/region-rd/,,,,,,region-rd,
broker_i_uk,38,Регион Эссет Менеджмент,https://www.banki.ru/investment/responses/company/trust_company/region-am/,,,,,,region-am,
broker_i_uk,39,Регион Траст,https://www.banki.ru/investment/responses/company/trust_company/trust-region/,,,,,,trust-region,
broker_i_uk,40,Ингосстрах-Инвестиции,https://www.banki.ru/investment/responses/company/trust_company/ingosstrah-invest/,,,,ingosinvest,https://vk.com/ingosinvest?ysclid=lak44q0yoj430304850,ingosstrah-invest,
broker_i_uk,41,ААА Управление Капиталом,https://www.banki.ru/investment/responses/company/trust_company/gpb-am/,,,,ukgpbam,https://vk.com/ukgpbam?ysclid=lak44xjm55627962476,gpb-am,
broker_i_uk,42,Мой Капитал,https://www.banki.ru/investment/responses/company/trust_company/capital-am/,,,,capitalapp,https://vk.com/capitalapp?ysclid=lak4576u1t333801965,capital-am,
broker_i_uk,43,Альфа-Капитал,https://www.banki.ru/investment/responses/company/trust_company/alfacapital/,,https://irecommend.ru/content/prilozhenie-alfa-kapital,,alfacapital,https://vk.com/alfacapital?ysclid=lak45izgnq303035035,alfacapital,
broker_i_uk,44,Открытие,https://www.banki.ru/investment/responses/company/trust_company/open-am/,https://www.sravni.ru/bank/fk-otkrytie/otzyvy/,https://irecommend.ru/content/bank-otkrytie,https://otzovik.com/reviews/bank_otkritie_russia/,otkritiecorp,https://vk.com/otkritiecorp?ysclid=lak45rvlic653420229,open-am,
broker_i_uk,45,Лидер,https://www.banki.ru/investment/responses/company/trust_company/leader/,,,,,,leader,
broker_i_uk,46,ТКБ Инвестмент Партнерс,https://www.banki.ru/investment/responses/company/trust_company/tkbip/,,https://irecommend.ru/content/sb-investment-partners,,tkbip,https://vk.com/tkbip?ysclid=lak46qp6or870113570,tkbip,
broker_i_uk,47,Прогрессивные инвестиционные идеи,https://www.banki.ru/investment/responses/company/trust_company/progressinvest/,,,,,,progressinvest,
broker_i_uk,48,ТФГ,https://www.banki.ru/investment/responses/company/trust_company/tfg/,,,,,,tfg,
broker_i_uk,49,Система Капитал,https://www.banki.ru/investment/responses/company/trust_company/sistema-capital/,,,,,,sistema-capital,
broker_i_uk,50,Райффайзен Капитал,https://www.banki.ru/investment/responses/company/trust_company/raiffeisencapital/,,,,,,raiffeisencapital,
broker_i_uk,51,РСХБ Управление Активами,https://www.banki.ru/investment/responses/company/trust_company/rshb-am/,,,,rshbam,https://vk.com/rshbam?ysclid=lak48nef9l870983845,rshb-am,
broker_i_uk,52,Эссет Менеджмент Солюшнс,https://www.banki.ru/investment/responses/company/trust_company/llcams/,,,,,,llcams,
